Hinweis IV:050607 bedeutet IV[0]=05,IV[1]=06,IV[2]=07, Plaintext: 0x66
IV: 03 FF 00  Cipherstream: 47
IV: 03 FF C5  Cipherstream: 7B
IV: 03 FF C6  Cipherstream: D2
IV: 03 FF C7  Cipherstream: 78
IV: 03 FF C8  Cipherstream: 35
IV: 03 FF C9  Cipherstream: BF
IV: 03 FF CA  Cipherstream: B5
IV: 03 FF CB  Cipherstream: D4
IV: 03 FF CC  Cipherstream: 34
IV: 03 FF CD  Cipherstream: 86
IV: 03 FF CE  Cipherstream: 7F
IV: 03 FF CF  Cipherstream: 65
IV: 03 FF D0  Cipherstream: 38
IV: 03 FF D1  Cipherstream: B4
IV: 03 FF D2  Cipherstream: AE
IV: 03 FF D3  Cipherstream: 25
IV: 03 FF D4  Cipherstream: C8
IV: 03 FF D5  Cipherstream: C9
IV: 03 FF D6  Cipherstream: BF
IV: 03 FF D7  Cipherstream: 62
IV: 03 FF D8  Cipherstream: 18
IV: 03 FF D9  Cipherstream: 67
IV: 03 FF DA  Cipherstream: E1
IV: 03 FF DB  Cipherstream: C7
IV: 03 FF DC  Cipherstream: EC
IV: 03 FF DD  Cipherstream: 48
IV: 03 FF DE  Cipherstream: F7
IV: 03 FF DF  Cipherstream: EF
IV: 03 FF E0  Cipherstream: 91
IV: 03 FF E1  Cipherstream: 30
IV: 03 FF E2  Cipherstream: 55
IV: 03 FF E3  Cipherstream: 23
IV: 03 FF E4  Cipherstream: 10
IV: 03 FF E5  Cipherstream: 20
IV: 03 FF E6  Cipherstream: A7
IV: 03 FF E7  Cipherstream: AA
IV: 03 FF E8  Cipherstream: D3
IV: 03 FF E9  Cipherstream: E4
IV: 03 FF EA  Cipherstream: 8F
IV: 03 FF EB  Cipherstream: C1
IV: 03 FF EC  Cipherstream: 5C
IV: 03 FF ED  Cipherstream: 02
IV: 03 FF EE  Cipherstream: E1
IV: 03 FF EF  Cipherstream: 6C
IV: 03 FF F0  Cipherstream: 08
IV: 03 FF F1  Cipherstream: C0
IV: 03 FF F2  Cipherstream: B5
IV: 03 FF F3  Cipherstream: 9C
IV: 03 FF F4  Cipherstream: 62
IV: 03 FF F5  Cipherstream: E6
IV: 03 FF F6  Cipherstream: 51
IV: 03 FF F7  Cipherstream: C4
IV: 03 FF F8  Cipherstream: BA
IV: 03 FF F9  Cipherstream: 71
IV: 03 FF FA  Cipherstream: CD
IV: 03 FF FB  Cipherstream: 4F
IV: 03 FF FC  Cipherstream: C0
IV: 03 FF FD  Cipherstream: 6F
IV: 03 FF FE  Cipherstream: 5D
IV: 03 FF FF  Cipherstream: 30
